262,353401,-84306,87752,-2989,-84306,87752,-2989,0,0,0,0
263,354755,-97261,63973,33815,-97261,63973,33815,0,0,0,0
264,356109,-96872,31482,65915,-96872,31482,65915,0,0,0,0
265,357463,-83177,-5485,89114,-83177,-5485,89114,0,0,0,0
266,358817,-57661,-41959,99933,-57661,-41959,99933,0,0,0,0
267,360171,-23476,-72042,95644,-23476,-72042,95644,0,0,0,0
268,361525,13614,-92049,78359,13614,-92049,78359,0,0,0,0
269,362879,48765,-99413,50379,48765,-99413,50379,0,0,0,0
270,364233,77387,-93159,15348,77387,-93159,15348,0,0,0,0
271,365587,95317,-73729,-22108,95317,-73729,-22108,0,0,0,0
272,366941,98832,-43201,-56171,98832,-43201,-56171,0,0,0,0
273,368295,88850,-7049,-82286,88850,-7049,-82286,0,0,0,0
274,369649,66723,29995,-97084,66723,29995,-97084,0,0,0,0
275,371003,35328,63096,-98619,35328,63096,-98619,0,0,0,0
276,372357,-1282,87547,-86260,-1282,87547,-86260,0,0,0,0
277,373711,-37639,98750,-60907,-37639,98750,-60907,0,0,0,0
278,375065,-68556,96400,-27473,-68556,96400,-27473,0,0,0,0
279,376419,-90024,80855,9657,-90024,80855,9657,0,0,0,0
280,377773,-99231,54131,45638,-99231,54131,45638,0,0,0,0
281,379127,-94507,19571,75448,-94507,19571,75448,0,0,0,0
282,380481,-75539,-17882,93831,-75539,-17882,93831,0,0,0,0
283,381835,-46438,-52580,99270,-46438,-52580,99270,0,0,0,0
284,383189,-11035,-80012,91105,-11035,-80012,91105,0,0,0,0
285,384543,26055,-96588,70389,26055,-96588,70389,0,0,0,0
286,385897,59740,-99654,39585,59740,-99654,39585,0,0,0,0
287,387251,84368,-87694,2864,84368,-87694,2864,0,0,0,0
288,388605,97287,-63887,-33932,97287,-63887,-33932,0,0,0,0
289,389959,96862,-31378,-66014,96862,-31378,-66014,0,0,0,0
290,391313,83131,5597,-89184,83131,5597,-89184,0,0,0,0
291,392667,57564,42052,-99933,57564,42052,-99933,0,0,0,0
292,394021,23367,72111,-95607,23367,72111,-95607,0,0,0,0
293,395375,-13722,92085,-78290,-13722,92085,-78290,0,0,0,0
294,396729,-48863,99413,-50286,-48863,99413,-50286,0,0,0,0
295,398083,-77463,93123,-15240,-77463,93123,-15240,0,0,0,0
296,399437,-95328,73631,22213,-95328,73631,22213,0,0,0,0
297,400791,-98805,43084,56258,-98805,43084,56258,0,0,0,0
298,402145,-88789,6925,82346,-88789,6925,82346,0,0,0,0
299,403499,-66631,-30116,97109,-66631,-30116,97109,0,0,0,0
300,404853,-35215,-63202,98607,-35215,-63202,98607,0,0,0,0
301,406207,1406,-87596,86180,1406,-87596,86180,0,0,0,0
302,407562,37753,-98762,60801,37753,-98762,60801,0,0,0,0
303,408916,68647,-96376,27351,68647,-96376,27351,0,0,0,0
304,410270,90086,-80796,-9782,90086,-80796,-9782,0,0,0,0
305,411624,99258,-54045,-45756,99258,-54045,-45756,0,0,0,0
306,412978,94461,-19459,-75519,94461,-19459,-75519,0,0,0,0
307,414332,75463,17992,-93868,75463,17992,-93868,0,0,0,0
308,415686,46340,52674,-99270,46340,52674,-99270,0,0,0,0
309,417040,10926,80081,-91069,10926,80081,-91069,0,0,0,0
310,418394,-26163,96624,-70320,-26163,96624,-70320,0,0,0,0
311,419748,-59816,99617,-39476,-59816,99617,-39476,0,0,0,0
312,421102,-84413,87624,-2752,-84413,87624,-2752,0,0,0,0
